code,lat,lng
430760905000008,-29.660291198746169,-51.172265945386776
431740005000022,-29.177319845528448,-54.862881712072337
432162605000002,-29.304641977978367,-52.048855219597911
430510805100285,-29.167017288570317,-51.195827614181454
430350905000105,-30.858582717510259,-51.782309465789645
430466305000050,-31.768061644609748,-52.438486445337205
430610605000098,-28.532134883932169,-53.676246578633162
432026305000008,-29.344148694807814,-52.974383679516045
430460605000642,-29.87964308476603,-51.176502333172493
430780705000013,-29.480751322527873,-51.943807524412563
430930805000162,-30.160891464764333,-51.398846637812213
431330005000019,-28.723604972810271,-51.61883010920404
431340905000639,-29.659175789167872,-51.114429875713263
431490205000143,-30.04125682301769,-51.2144282365297
431490205000399,-30.067934939427509,-51.161231032443247
430175005000014,-30.415510786222626,-51.705234064813176
430060405040001,-30.014172124141577,-51.090806680065242
430850805000044,-27.347198185928118,-53.39333806276003
431000905000038,-28.640998896530721,-53.067709051522357
431750942000005,-28.256636292537877,-54.336530229355645
430055430000001,-28.811575943755027,-53.035494421543135
430460605000066,-29.899942826886043,-51.168826077818196
430510805100069,-29.1575955962784,-51.1751197788692
430940705000053,-28.873154961466327,-51.897454273478537
430350940000005,-30.637128878528294,-51.940232037330134
430040605100024,-29.803285479174534,-55.740299164274468
430300405000116,-30.030042779627554,-52.9195654208662
430460605000039,-29.913097546380573,-51.190595115382159
430300415000009,-30.077388107643628,-52.956269186041425
431440705160097,-31.749754941563033,-52.333462006632772
431507305000003,-27.726119431561912,-54.863415946537465
432260805000001,-29.611125956215254,-52.1924715303963
430480405000108,-29.28677023193179,-51.495995639228823
430660105060067,-30.97919346140991,-54.632187244909346
430780723000003,-29.429643086985159,-51.929716342087531
431140305000144,-29.430196684653147,-52.027369555879908
432250905000026,-28.51786552053564,-50.925819007812763
430060405010004,-29.995929319184974,-51.073787889354705
430100805000026,-29.401417655078451,-51.945195965807372
430300405000097,-30.037063461010433,-52.928656766247045
431490205002390,-30.026630245196394,-51.128706512850769
431720205000032,-27.861389533922676,-54.486496728518233
432190705000058,-27.44371551586983,-53.938569405206167
430470505000103,-28.284966466555872,-52.8199182849133
431162705000008,-29.598847571661764,-51.201504060627414
430240215000002,-29.609117029076717,-51.899486257749075
430920905000016,-29.931199516982691,-50.996465639009195
431020705000075,-28.369718665371515,-53.905995030846249
431560205340011,-32.175254929689984,-52.14562591425365
431390405000040,-28.403097094111995,-53.440712175392989
431490205002056,-30.032383581948245,-51.104472093260888
432150105000038,-29.361853435497384,-49.755697453404792
430300405000090,-30.004133094008353,-52.907968228631127
430780705000050,-29.514969863156004,-51.966035610037594
431340905000227,-29.677751105409133,-51.094263967125471
431430805000001,-28.422054828465232,-53.65665917019988
431760805000089,-29.897469708197089,-50.482184379077182
431250005000007,-31.110944800457872,-50.912541054429575
430060405050060,-30.031443403067048,-51.084954463367772
430460605000065,-29.900146913648513,-51.171212755842355
430860705000010,-29.267957570020855,-51.529028109840006
430250105000012,-28.670937325673876,-54.864088932437852
430460605000121,-29.951529263315937,-51.164859365958193
430510805130011,-29.17267095444257,-51.136263969118033
431340905000093,-29.698898362068572,-51.137638781126618
430063805000013,-30.767401449359824,-52.352042365710659
431140305000025,-29.456613184034119,-51.977520980056383
431490205003014,-30.073136813986011,-51.15139763717108
430930805000114,-30.220482763118451,-51.5367639162158
431340905000471,-29.689956322802335,-51.104356277681738
432000805000216,-29.835542161850668,-51.132027493634389
432260805000019,-29.622901169174209,-52.190239076289657
430310305000069,-29.928633049780938,-51.0863189524228
430469705000001,-29.268251558116837,-51.985992206442589
430510805100023,-29.162842342749443,-51.180142118055649
430840905000002,-29.991301049002836,-53.500330761920907
431405005000010,-29.629259232188083,-50.824839705769364
431560220000013,-32.005540131456932,-52.294654576735283
431890335000002,-28.51638895927541,-54.732751941830529
430530605000007,-28.051495475817866,-53.06219292533158
431020750000002,-28.238509012247025,-53.914599540244787
432180805000021,-27.808005304503169,-54.228224797367844
432220205000010,-29.081749485477239,-53.84175760649498
431490205002602,-30.118562960921761,-51.211861235534194
431940605000029,-29.620698170381672,-54.196002910960978
432130307000006,-29.688433035936697,-51.90817599511572
430040605090016,-29.804903691127258,-55.807037611080418
430040605070003,-29.790028198913138,-55.798877262415154
430110705000025,-30.095294770126429,-51.732299854029471
430270910000008,-30.253862142427426,-52.122601142091654
431306005000042,-29.59200921659928,-50.873637882353144
430160205000182,-31.291053785098281,-54.099645538112483
430180005000019,-27.785592215764488,-51.470599336069128
430820105000002,-29.028292495755974,-51.18386833479034
431490205002471,-30.04604675007155,-51.191743922032515
432300220000016,-30.12886371237061,-51.052691816529553
432190705000023,-27.45654594078658,-53.938716616724363
430450720000006,-31.214100634816006,-52.465833810878095
430510805100012,-29.166602424106724,-51.173477528817422
430040605110017,-29.794817170467159,-55.812878491964348
430642905000002,-27.656496891556369,-53.5002051865592
431402705000009,-29.776049034564167,-53.147521571853929
431490205001017,-30.117686999015451,-51.223420719237694
431870505000306,-29.771102581324648,-51.154511837684396
430820105000053,-29.018740034168921,-51.1964878165662
430930805000009,-30.128282558470424,-51.317508010915141
430460605000064,-29.902855872754721,-51.17338508402095
431760816000016,-29.740943619497674,-50.5465763518114
430210505000308,-29.169269288611957,-51.523134643291677
431490205002887,-30.032869947527139,-51.107740737525489
430057005000008,-29.327904877184459,-51.2781384542104
431320105000032,-29.399911065975189,-51.101820822116629
430110705000009,-30.087463636864562,-51.749440849692043
430920915000015,-29.913219816398925,-50.889357588913562
430050520000002,-27.1053530045268,-53.049113986757412
432183205000004,-29.351583106807073,-50.110878322919646
431205415000003,-29.244585195608394,-52.17599446410749
432280605000073,-28.947064672942524,-51.54342299827853
430460605000021,-29.91421674552679,-51.178621434921148
430460605000041,-29.9156514073712,-51.195052450632296
430064605000024,-27.356903079365335,-53.1930485346752
432260805000047,-29.604192688531079,-52.197068191876539
430060405090017,-29.995629672667867,-51.060971341867074
430060405090029,-29.9897634552963,-51.060809412900319
431490205001243,-30.182683018408252,-51.165185684776048
431440705190016,-31.7454456020502,-52.231723366349136
432240005000145,-29.765969373764374,-57.059250067865271
431960430000001,-29.99660088615747,-53.680103706802349
432180811000003,-27.766705305186925,-54.152198920305004
430510805140002,-29.209143195939397,-51.200480975865823
430990207000003,-28.33510762803542,-51.687172331740356
431010805000005,-29.574118701206842,-50.788190239939922
430910005000003,-29.379129158613775,-50.877183787775934
430340010000006,-27.210390178104035,-53.54617491852445
430350905000084,-30.857332571200427,-51.8190190947612
431349005000014,-27.948700258701141,-53.175845318655796
431400105000015,-28.607635961930136,-51.815235289311232
431595810000004,-28.220760163934884,-54.762949313666724
431750905050003,-28.30548324681369,-54.274374370623519
430310305000235,-29.894220491906207,-51.081416903551428
430440805000069,-29.344368797079426,-50.797212293373491
431800205000061,-28.645925083375396,-56.013832454879491
430930805000214,-30.090011303187403,-51.313472465407138
430175005000003,-30.328503905581403,-51.67396310626745
430535505000058,-29.952349842113065,-51.633522223405485
430420005000031,-29.659379449291666,-52.80152009813299
431140305000106,-29.405839155340765,-52.030216626072075
431490205000697,-30.069822634262508,-51.230314059793528
432080005000058,-28.82993859501612,-52.526540709174569
430100816000003,-29.362619515277331,-52.045358908867435
430510805110045,-29.141068672323623,-51.211211397660549
430693205000014,-28.378234072084012,-54.309150179581792
432032115000001,-27.979981035430438,-54.58814960930264
432140240000001,-27.351059975008031,-53.808845892398914
432195605000011,-27.524199233946263,-53.015933258279716
431235105000001,-28.653497562622423,-52.076476713778121
430510805130046,-29.173705763317873,-51.151107035496935
430210505000279,-29.134279586469081,-51.541339358999565
430390505000103,-29.705466260453111,-51.070322650254923
430930805000180,-30.160357199412719,-51.348563304534679
430355810000003,-28.63965337869308,-52.276805718604869
430450720000008,-31.29769163217895,-52.480491858100031
431240113000001,-29.659844925441995,-51.556664959951057
431680838000002,-29.464873284063938,-52.378817002358751
430965405000013,-31.5620700785355,-53.880411188959592
430510805140106,-29.203695530380593,-51.20519357744076
430163615000004,-30.174130766089164,-50.331383497367582
430410130000001,-28.849216123724776,-53.0398103404827
430010905000029,-29.659807868690791,-53.242963868225289
430460605000511,-29.9414216987614,-51.186570951184827
431337505000024,-29.826838366828529,-51.314183241919189
431490205002794,-30.115687269672765,-51.22294805993716
431697230000004,-30.398936609486807,-54.061222589465459
431130405000033,-28.211707664468179,-51.544206378515945
431250005000016,-31.058637730887884,-50.941592686432386
432237605000002,-29.008211807706296,-55.079010672871355
430350905000095,-30.834698023279323,-51.81962951016996
430390505000022,-29.692436125543516,-51.073849621549989
430467110000003,-30.130161572974512,-50.435339700038384
430463005000074,-29.750626662618565,-50.031699721484209
430676705000052,-30.033247988219976,-51.3188967160911
430510805190014,-29.118837654578385,-51.128785066171346
431220305000015,-27.627184676605143,-51.799892729036308
431447220000002,-29.23300223437538,-53.348585208277655
431490205001390,-30.015229748544712,-51.209907378663296
430064605000002,-27.360807700789952,-53.184339502594995
430310305000079,-29.925235570388185,-51.078608711692027
430080205000024,-28.913471793401317,-51.328985563771738
430920905000105,-29.946183005580313,-51.030347617821405
430920933000017,-29.879502185504315,-50.995297072801677
431245005000020,-31.607608238921276,-52.671605374200261
431415905000017,-29.592324031163336,-51.7798612050441
431990105000179,-29.636297039082603,-51.012906428684062
430463005000089,-29.7596758368028,-50.041599605358158
431335905000002,-28.98369517745272,-51.410191376531195
431406830000002,-29.494866387638837,-52.890113463173734
430040605060013,-29.785601145742927,-55.790143582443427
430450705000042,-31.357374104753294,-52.583301014879162
431410005130004,-28.309454719231564,-52.395984228260438
431440725000004,-31.507251523024046,-52.251720769497595
431725105000003,-29.172595043763838,-51.7271775915364
431750905180003,-28.318817713673575,-54.292051447247559
430060405050038,-30.028180612786922,-51.080609590367921
430310305000204,-29.898417116462532,-51.068055524556264
430790605000003,-29.229843618061732,-51.344471240822159
431065205000005,-29.555080563060383,-50.126230621584071
430360815000002,-28.971665363463057,-50.058765054745813
431380505000030,-27.352829259458012,-53.554847567759822
431490205002246,-30.125869114456481,-51.21057120325866
431490205002812,-30.021210267179363,-51.129504381693472
431560205340057,-32.190526559285431,-52.170401615626488
430410105000005,-28.889524937556711,-53.004579645725855
430905015000006,-29.781211347357857,-50.752302301234018
431490205000042,-30.033067474572171,-51.224221401448119
431490205001165,-30.14985125007032,-51.21150902138664
430450705000010,-31.381529626811005,-52.67749816669766
430460605000658,-29.903197687275462,-51.147724614477276
430463006000007,-29.635745898918568,-49.993913010678256
430100805000010,-29.394479790521068,-51.951607568095973
431490205002507,-30.113020879274135,-51.231270092903557
432260805000004,-29.615156328791485,-52.188843647291492
430020805000006,-28.20814169627231,-53.8108847084346
430660105060006,-30.984222409533249,-54.67402195739681
431490205001410,-30.025400078517016,-51.2155499735395
430300405000032,-30.039923505590117,-52.903428208920573
430510805100232,-29.154651240251702,-51.165866672596515
430745005000002,-27.361405936621814,-53.988501480364825
430460605000168,-29.961672177289394,-51.181217207101049
431680805000126,-29.808574457778075,-52.333620850175961
431710305000112,-30.853884170977004,-55.550159816409909
431870505000065,-29.774684431625076,-51.152448076059088
431040515000004,-27.985511321456077,-54.125388821582668
430165105000007,-29.379387805299917,-51.499948275250418
430640305000059,-29.580627127422318,-51.107404445779082
430700505000035,-27.627990861865392,-52.259434476764575
432190745000002,-27.402155680017493,-53.994025504308937
432380415000008,-29.779922798448009,-50.024620378068839
430510805140060,-29.210813859358755,-51.1733881665586
430500910000004,-28.203322432463164,-54.084400142606462
430510805240004,-29.102740381237655,-51.178744266545344
431405005000113,-29.636713890714464,-50.8167326857826
431490205000362,-30.050854519090194,-51.130081387344433
430510805100207,-29.164987941379611,-51.187768376627929
431690705060043,-29.701358715954466,-53.817499212610727
430450705000012,-31.388889039646674,-52.673260112377911
430355805000005,-28.580601920406252,-52.198787554749359
